image_id,label,fertilizer
200001.jpg,hispa,Balanced npk fertilizer[30-10-10]
200002.jpg,normal,normal fertilizers
200003.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200004.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200005.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200006.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200007.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200008.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200009.jpg,hispa,Balanced npk fertilizer[30-10-10]
200010.jpg,normal,
200011.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200012.jpg,hispa,Balanced npk fertilizer[30-10-10]
200013.jpg,normal,
200014.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200015.jpg,normal,
200016.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200017.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200018.jpg,hispa,Balanced npk fertilizer[30-10-10]
200019.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200020.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200021.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200022.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200023.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200024.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200025.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200026.jpg,hispa,Balanced npk fertilizer[30-10-10]
200027.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200028.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200029.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
